name,id,cuisine type,preptime,readytime,calories,steps
Hot Italian Giardiniera,10001,Italian,45m,2 d 2 h 45 m,233,"1)Place into a bowl the green and red peppers, jalapenos, celery, carrots, onion, and cauliflower. Stir in salt, and fill with enough cold water to cover. Place plastic wrap or aluminum foil over the bowl, and refrigerate overnight. 2)The next day, drain salty water, and rinse vegetables. In a bowl, mix together garlic, oregano, red pepper flakes, black pepper, and olives. Pour in vinegar and olive oil, and mix well. Combine with vegetable mixture, cover, and refrigerate for 2 days before using."
Italian Roast Beef,10002,Italian,15m,3h 45m,618,"1)Pour water into a large kettle, and add bouillon cubes. 2)Mix together the salt, garlic, Italian seasoning, black pepper, oregano, basil, and red pepper flakes on a large plate. Rub roast with 1/2 cup vegetable oil. Roll roast in seasoning mixture until well coated. Place the roast in the kettle along with any left over seasoning mixture and oil. 3)"
Addictive Sesame Chicken,10003,Chinese,30m,50m,740,"1)Combine the 2 tablespoons soy sauce, the dry sherry, dash of sesame oil, flour, 2 tablespoons cornstarch, 2 tablespoons water, baking powder, baking soda, and canola oil in a large bowl. Mix well; stir in the chicken. Cover and refrigerate for 20 minutes. 2)Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). 3)Combine the 1/2 cup water, chicken broth, vinegar, 1/4 cup cornstarch, sugar, 2 tablespoons soy sauce, 2 tablespoons sesame oil, red chili paste, and garlic in a small saucepan. Bring to a boil, stirring constantly. Turn heat to low and keep warm, stirring occasionally. 4)Fry the marinated chicken in batches until cooked through and golden brown, 3 to 5 minutes. Drain on paper towels. 5)Transfer the chicken to a large platter, top with sauce, and sprinkle with sesame seeds."
Naan,10004,Indian,30m,3h,211,"1)In a large bowl, dissolve yeast in warm water. Let stand about 10 minutes, until frothy. Stir in sugar, milk, egg, salt, and enough flour to make a soft dough. Knead for 6 to 8 minutes on a lightly floured surface, or until smooth. Place dough in a well oiled bowl, cover with a damp cloth, and set aside to rise. Let it rise 1 hour, until the dough has doubled in volume. 2)Punch down dough, and knead in garlic. Pinch off small handfuls of dough about the size of a golf ball. Roll into balls, and place on a tray. Cover with a towel, and allow to rise until doubled in size, about 30 minutes. 3)During the second rising, preheat grill to high heat. 4)At grill side, roll one ball of dough out into a thin circle. Lightly oil grill. Place dough on grill, and cook for 2 to 3 minutes, or until puffy and lightly browned. Brush uncooked side with butter, and turn over. Brush cooked side with butter, and cook until browned, another 2 to 4 minutes. Remove from grill, and continue the process until all the naan has been prepared."
Mexican Rice,10005,Mexican,20m,50m,233,"1)In a large saucepan, heat vegetable oil over a medium-low heat. Place the onions in the pan, and saute until golden. 2)Add rice to pan, and stir to coat grains with oil. Mix in green bell pepper, cumin, chili powder, tomato sauce, salt, garlic, saffron, and water. Cover, bring to a boil, and then reduce heat to simmer. Cook for 30 to 40 minutes, or until rice is tender. Stir occasionally."
Mexican Bean Salad,10006,Mexican,15m,1h 15m,334,"1)In a large bowl, combine beans, bell peppers, frozen corn, and red onion. 2)In a small bowl, whisk together olive oil, red wine vinegar, lime juice, lemon juice, sugar, salt, garlic, cilantro, cumin, and black pepper. Season to taste with hot sauce and chili powder. 3)Pour olive oil dressing over vegetables; mix well. Chill thoroughly, and serve cold."
Japanese Onion Soup,10007,Japanese,15m,1h,25,"1) In a large saucepan or stockpot, combine the celery, onion, carrot, ginger, garlic, and a few of the mushrooms. Add chicken stock, beef bouillon, and water. Place the pot over high heat, and bring to a rolling boil. When the mixture reaches boiling, cover, reduce heat to medium, and cook for 45 minutes. 2)Place all of the remaining mushrooms into a separate pot. When the boiling mixture is done, place a strainer over the pot with the mushrooms in it. Strain the cooked soup into the pot with the mushrooms. Discard strained materials. 3)Serve the broth with mushrooms in small porcelain bowls, and sprinkle fresh chives over the top. Use Asian soup spoons for an elegant effect."
Cucumber Sunomono,10008,Japanese,15m,1h 15m,27,"1) Cut cucumbers in half lengthwise and scoop out any large seeds. Slice crosswise into very thin slices. 2)In a small bowl combine vinegar, sugar, salt and ginger. Mix well. Place cucumbers inside of the bowl, stir so that cucumbers are coated with the mixture. Refrigerate the bowl of cucumbers for at least 1 hour before serving."
Daria's Slow Cooker Beef Stroganoff,10009,American,15m,8h15m,403,"1)Place the beef in the bottom of a slow cooker, and season with salt and pepper to taste. Place onion on top of beef, and then add mushroom soup, mushrooms, and water. Season with chives, garlic, Worcestershire sauce, and bouillon. 2)In a small bowl, mix together the wine with the flour. Pour over the beef. 3)Cover, and cook on Low for 6 to 7 hours. Stir in the sour cream and parsley, and continue cooking for 1 hour."
Chicken Katsu,10010,Japanese,10m,20m,297,"1)Season the chicken breasts on both sides with salt and pepper. Place the flour, egg and panko crumbs into separate shallow dishes. Coat the chicken breasts in flour, shaking off any excess. Dip them into the egg, and then press into the panko crumbs until well coated on both sides. 2)Heat 1/4 inch of oil in a large skillet over medium-high heat. Place chicken in the hot oil, and cook 3 or 4 minutes per side, or until golden brown."
Chicken Avocado Salad,10011,Japanese,8m,20m,252,"1)In a medium bowl, combine the avocados, chicken, onion and cilantro. Pour the balsamic vinaigrette over everything, and toss lightly to coa"
Tofu Hiyayakko,10012,Japanese,10m,10m,100,"1) Mix the soy sauce, sugar, dashi granules, and water together in small bowl until sugar dissolves. Place the tofu on a small plate and top with ginger, green onion, and bonito shavings. Drizzle the soy mixture on top, and sprinkle with sesame seeds."
Easy Bulgogi,10013,Korean,10m,1h 15m,226,"1) Combine yellow onion, white and light green parts of green onions, soy sauce, sugar, sesame seeds, garlic, sesame oil, red pepper flakes, ginger, and black pepper in a bowl until marinade is well mixed. Add steak slices to marinade; cover and refrigerate, 1 hour to 1 day. 2)Heat a skillet over medium heat. Working in batches, cook and stir steak and marinade together in the hot skillet, adding honey to caramelize the steak, until steak is cooked through, about 5 minutes. Garnish bulgogi with green parts of green onions."
Yummy Korean Glass Noodles,10014,Korean,15m,20m,363,"1)Break the vermicelli into small pieces and place in a deep-sided dish. Cover with hot tap water and soak for ten minutes; drain. 2)Whisk together the soy sauce, brown sugar, and boiling water; pour over the drained noodles; allow to soak 2 minutes. 3)Pour the vegetable oil into a skillet and place over medium heat. Add the noodles and soy sauce mixture to the skillet and cook and stir until hot, about 5 minutes. Sprinkle sesame seeds over the noodles just before serving."
Beef Pho,10015,Vietnam,30m,6h 30m,430,"1)Place the beef knuckle in a very large (9 quart or more) pot. Season with salt, and fill pot with 2 gallons of water. Bring to a boil, and cook for about 2 hours. 2)Skim fat from the surface of the soup, and add the oxtail, radish and onions. Tie the anise pods, cinnamon stick, cloves, peppercorns and ginger in a cheesecloth or place in a spice bag; add to the soup. Stir in sugar, salt and fish sauce. Simmer over medium-low heat for at least 4 more hours (the longer, the better). At the end of cooking, taste, and add salt as needed. Strain broth, and return to the pot to keep at a simmer. Discard spices and bones. Reserve meat from the beef knuckle for other uses if desired. 3)Bring a large pot of lightly salted water to a boil. Soak the rice noodles in water for about 20 minutes, then cook in boiling water until soft, but not mushy, about 5 minutes. Slice the frozen beef paper thin. The meat must be thin enough to cook instantly. 4)Place some noodles into each bowl, and top with a few raw beef slices. Ladle boiling broth over the beef and noodles in the bowl. Serve with hoisin sauce and Sriracha sauce on the side. Set onion, cilantro, bean sprouts, basil, green onions, and lime out at the table for individuals to add toppings to their liking."
Chinese Broccoli,10016,Chinese,10m,20m,130,"1)Bring a large pot of lightly salted water to a boil. Add the Chinese broccoli and cook uncovered until just tender, about 4 minutes. Drain and set aside. 2)Meanwhile, whisk the sugar, cornstarch, soy sauce, vinegar, sesame oil, hoisin sauce, ginger, and garlic together in a small saucepan over medium heat until thickened and no longer cloudy, 5 to 7 minutes. Toss the broccoli in the sauce and serve."
Sausage Hash Brown Breakfast Casserole,10017,American,5m,1h,573,"1)Preheat oven to 350 degrees F (175 degrees C). Grease a half-casserole baking dish or deep-dish pie plate. 2)Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease. 3)Stir hash browns, cooked sausage, Cheddar cheese, 1/2 teaspoon salt, and black pepper together in a large bowl. Whisk milk, eggs, and remaining salt together in another bowl. Pour hash brown mixture into prepared baking dish; pour egg mixture evenly over hash brown mixture. 4)Bake in the preheated oven until bubbling and golden, about 45 minutes."
Indian Fish Curry,10018,Indian,20m,1h 25m,338,"1)Mix the mustard, pepper, 1/2 teaspoon salt, and 2 tablespoons of canola oil in a shallow bowl. Add the fish fillets, turning to coat. Marinate the fish in the refrigerator for 30 minutes. 2)Combine the onion, garlic, ginger, and cashews in a blender or food processor and pulse until the mixture forms a paste. 3)Preheat an oven to 350 degrees F. 4)Heat 1 tablespoon of canola oil in a skillet over medium-low heat. Stir in the prepared paste; cook and stir for a minute or two. Add the cayenne pepper, turmeric, cumin, coriander, 1 teaspoon salt, and sugar. Cook and stir for an additional five minutes. Stir in the chopped tomato and vegetable broth. 5)Arrange the fish fillets in a baking dish, discarding any extra marinade. Top the fish with the sauce, cover the baking dish, and bake in the preheated oven until the fish flakes easily with a fork, about 30 minutes. Garnish with chopped cilantro."
Mexican Quinoa,10019,Mexican,20m,40m,244,"1)Heat olive oil in a large skillet over medium heat; cook and stir quinoa and onion in the hot oil until onion is translucent, about 5 minutes. Add garlic and jalapeno pepper to quinoa mixture and cook until garlic is fragrant and slightly softened, 1 or 2 more minutes. 2)Mix undrained can of diced tomatoes with green chiles, taco seasoning mix, and chicken broth into quinoa mixture. Bring to a boil, reduce heat to medium-low, and simmer until liquid has been absorbed, 15 to 20 minutes. Stir in cilantro."
Carrot Cake Oatmeal,10020,American,15m,55m,287,"1)Bring water to a boil in a heavy, large saucepan, and stir in the oats. Reduce heat to a simmer, and cook oats until they begin to thicken, about 10 minutes; mix in the apple, carrot, raisins, cinnamon, nutmeg, ginger, and salt. Let the oats simmer until tender, about 20 more minutes. 2)While the oats are simmering, melt butter in a skillet over medium-low heat, and stir in the pecans. Toast the nuts until fragrant and lightly browned, 2 to 5 minutes, then sprinkle with brown sugar and stir until sugar has melted and coated the pecans. 3)Serve in bowls, each topped with about 2 tablespoons of the pecan mixture and a dollop of yogurt."
Chinese Spareribs,10021,Chinese,5m,45m,504,"1)In a shallow glass dish, mix together the hoisin sauce, ketchup, honey, soy sauce, sake, rice vinegar, lemon juice, ginger, garlic and five-spice powder. Place the ribs in the dish, and turn to coat. Cover and marinate in the refrigerator for 2 hours, or as long as overnight. 2)Preheat the oven to 325 degrees F (165 degrees C). Fill a broiler tray with enough water to cover the bottom. Place the grate or rack over the tray. Arrange the ribs on the grate. 3)Place the broiler rack in the center of the oven. Cook for 40 minutes, turning and brushing with the marinade every 10 minutes. Let the marinade cook on for the final 10 minutes to make a glaze. Finish under the broiler if desired. Discard any remaining marinade."
Szechwan Shrimp,10022,Chinese,10m,20m,142,"1)In a bowl, stir together water, ketchup, soy sauce, cornstarch, honey, crushed red pepper, and ground ginger. Set aside. 2)Heat oil in a large skillet over medium-high heat. Stir in green onions and garlic; cook 30 seconds. Stir in shrimp, and toss to coat with oil. Stir in sauce. Cook and stir until sauce is bubbly and thickened."
Thai Pineapple Chicken Curry,10023,Indian,15m,50m,623,"1)Bring rice and water to a boil in a pot. Reduce heat to low, cover, and simmer 25 minutes. 2)In a bowl, whisk together curry paste and 1 can coconut milk. Transfer to a wok, and mix in remaining coconut milk, chicken, fish sauce, sugar, and bamboo shoots. Bring to a boil, and cook 15 minutes, until chicken juices run clear. 3)Mix the red bell pepper, green bell pepper, and onion into the wok. Continue cooking 10 minutes, until chicken juices run clear and peppers are tender. Remove from heat, and stir in pineapple. Serve over the cooked rice."
Fish Tacos,10024,Mexican,40m,1h,409,"1)To make beer batter: In a large bowl, combine flour, cornstarch, baking powder, and salt. Blend egg and beer, then quickly stir into the flour mixture (don't worry about a few lumps). 2)To make white sauce: In a medium bowl, mix together yogurt and mayonnaise. Gradually stir in fresh lime juice until consistency is slightly runny. Season with jalapeno, capers, oregano, cumin, dill, and cayenne. 3)Heat oil in deep-fryer to 375 degrees F (190 degrees C). 4)Dust fish pieces lightly with flour. Dip into beer batter, and fry until crisp and golden brown. Drain on paper towels. Lightly fry tortillas; not too crisp. To serve, place fried fish in a tortilla, and top with shredded cabbage, and white sauce."
Fruit Pizza,10025,Italian,10m,20m,235,"1)Preheat oven to 350 degrees F. 2)On an ungreased medium baking sheet, smooth the refrigerated sugar cookie dough into a single layer approximately 1/4 inch thick. Bake in the preheated oven 10 minutes, or until edges are lightly browned and center is no longer doughy. 3)In a medium bowl, blend the marshmallow creme and cream cheese. Spread the mixture over the baked crust. Chill in the refrigerator until serving."